Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
breast-cancer-wisconsin,svmLinear,ap,21,0.967836257309941,0.982404692082111
yeast,svmLinear,ap,55,0.649664429530201,0.59404600811908
glass,svmLinear,ap,15,0.770642201834862,0.676190476190476
ecoli,svmLinear,ap,13,0.911764705882353,0.849397590361446
vowel-context,svmLinear,ap,43,0.961616161616162,0.892929292929293
iris,svmLinear,ap,6,0.92,0.92
pima-indians-diabetes,svmLinear,ap,32,0.78125,0.768229166666667
sonar.all,svmLinear,ap,16,0.923809523809524,0.796116504854369
image-segmentation,svmLinear,ap,54,0.94978354978355,0.918614718614719
ionosphere,svmLinear,ap,31,0.960227272727273,0.942857142857143
spectrometer,svmLinear,ap,28,0.680851063829787,0.534136546184739
statlog-vehicle,svmLinear,ap,28,0.799528301886792,0.720379146919431
optdigits,svmLinear,ap,180,0.99644254713625,0.96938412246351
statlog-satimage,svmLinear,ap,72,0.900279589934762,0.892412935323383
pendigits,svmLinear,ap,139,0.996908528823422,0.988894957218278
wine,svmLinear,ap,7,0.977777777777778,0.988636363636364
breast-cancer-wisconsin,svmLinear,ap,21,0.967836257309941,0.976539589442815
yeast,svmLinear,ap,57,0.645637583892617,0.623815967523681
glass,svmLinear,ap,18,0.770642201834862,0.714285714285714
ecoli,svmLinear,ap,13,0.876470588235294,0.873493975903614
vowel-context,svmLinear,ap,46,0.94949494949495,0.901010101010101
iris,svmLinear,ap,6,0.946666666666667,0.906666666666667
pima-indians-diabetes,svmLinear,ap,40,0.815104166666667,0.763020833333333
sonar.all,svmLinear,ap,14,0.819047619047619,0.786407766990291
image-segmentation,svmLinear,ap,56,0.933333333333333,0.939393939393939
ionosphere,svmLinear,ap,28,0.965909090909091,0.914285714285714
spectrometer,svmLinear,ap,25,0.695035460992908,0.502008032128514
statlog-vehicle,svmLinear,ap,28,0.787735849056604,0.710900473933649
optdigits,svmLinear,ap,185,0.995731056563501,0.968672125311499
statlog-satimage,svmLinear,ap,72,0.896241068654862,0.889925373134328
pendigits,svmLinear,ap,141,0.99654482633206,0.989441106863281
wine,svmLinear,ap,9,0.988888888888889,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,21,0.97953216374269,0.956011730205279
yeast,svmLinear,ap,52,0.649664429530201,0.595399188092016
glass,svmLinear,ap,17,0.807339449541284,0.685714285714286
ecoli,svmLinear,ap,14,0.905882352941176,0.86144578313253
vowel-context,svmLinear,ap,47,0.967676767676768,0.866666666666667
iris,svmLinear,ap,7,0.986666666666667,0.946666666666667
