Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,9,0.911111111111111,0.875
breast-cancer-wisconsin,svmLinear,ap,20,0.976608187134503,0.950146627565982
yeast,svmLinear,ap,57,0.614765100671141,0.546684709066306
glass,svmLinear,ap,20,0.642201834862385,0.485714285714286
ecoli,svmLinear,ap,13,0.829411764705882,0.843373493975904
vowel-context,svmLinear,ap,44,0.616161616161616,0.533333333333333
iris,svmLinear,ap,5,0.853333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,33,0.755208333333333,0.700520833333333
sonar.all,svmLinear,ap,18,0.752380952380952,0.766990291262136
image-segmentation,svmLinear,ap,56,0.840692640692641,0.837229437229437
ionosphere,svmLinear,ap,28,0.903409090909091,0.88
spectrometer,svmLinear,ap,25,0.386524822695035,0.337349397590361
statlog-vehicle,svmLinear,ap,23,0.615566037735849,0.518957345971564
optdigits,svmLinear,ap,186,0.953041622198506,0.938412246351015
statlog-satimage,svmLinear,ap,72,0.87138863000932,0.857276119402985
pendigits,svmLinear,ap,136,0.971994908165121,0.972146368104861
wine,svmLinear,ap,12,0.944444444444444,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,24,0.967836257309941,0.976539589442815
yeast,svmLinear,ap,55,0.595973154362416,0.577807848443843
glass,svmLinear,ap,18,0.63302752293578,0.514285714285714
ecoli,svmLinear,ap,14,0.905882352941176,0.849397590361446
vowel-context,svmLinear,ap,43,0.61010101010101,0.519191919191919
iris,svmLinear,ap,7,0.906666666666667,0.933333333333333
pima-indians-diabetes,svmLinear,ap,38,0.796875,0.716145833333333
sonar.all,svmLinear,ap,13,0.666666666666667,0.640776699029126
image-segmentation,svmLinear,ap,60,0.868398268398268,0.864069264069264
ionosphere,svmLinear,ap,27,0.886363636363636,0.771428571428571
spectrometer,svmLinear,ap,26,0.421985815602837,0.313253012048193
statlog-vehicle,svmLinear,ap,26,0.636792452830189,0.545023696682464
optdigits,svmLinear,ap,179,0.956599075062255,0.937344250622998
statlog-satimage,svmLinear,ap,68,0.865486175831003,0.837997512437811
pendigits,svmLinear,ap,140,0.973267866884888,0.974148916803204
wine,svmLinear,ap,8,0.922222222222222,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,23,0.967836257309941,0.967741935483871
yeast,svmLinear,ap,59,0.601342281879195,0.568335588633288
glass,svmLinear,ap,17,0.63302752293578,0.457142857142857
ecoli,svmLinear,ap,10,0.8,0.813253012048193
vowel-context,svmLinear,ap,46,0.646464646464647,0.527272727272727
iris,svmLinear,ap,5,0.88,0.826666666666667
pima-indians-diabetes,svmLinear,ap,40,0.796875,0.697916666666667
sonar.all,svmLinear,ap,14,0.733333333333333,0.601941747572815
image-segmentation,svmLinear,ap,57,0.856277056277056,0.837229437229437
ionosphere,svmLinear,ap,29,0.909090909090909,0.88
spectrometer,svmLinear,ap,28,0.397163120567376,0.321285140562249
statlog-vehicle,svmLinear,ap,29,0.650943396226415,0.601895734597156
optdigits,svmLinear,ap,189,0.952685876912131,0.940904236383054
statlog-satimage,svmLinear,ap,70,0.863000931966449,0.869402985074627
pendigits,svmLinear,ap,140,0.97708674304419,0.968869470234844
wine,svmLinear,ap,8,0.955555555555556,0.897727272727273
breast-cancer-wisconsin,svmLinear,ap,26,0.967836257309941,0.961876832844575
yeast,svmLinear,ap,59,0.622818791946309,0.550744248985115
glass,svmLinear,ap,17,0.63302752293578,0.552380952380952
ecoli,svmLinear,ap,14,0.894117647058824,0.831325301204819
vowel-context,svmLinear,ap,44,0.662626262626263,0.513131313131313
iris,svmLinear,ap,5,0.84,0.92
pima-indians-diabetes,svmLinear,ap,34,0.755208333333333,0.640625
sonar.all,svmLinear,ap,17,0.885714285714286,0.660194174757282
image-segmentation,svmLinear,ap,57,0.869264069264069,0.853679653679654
ionosphere,svmLinear,ap,28,0.869318181818182,0.868571428571429
spectrometer,svmLinear,ap,27,0.429078014184397,0.34136546184739
statlog-vehicle,svmLinear,ap,27,0.587264150943396,0.561611374407583
optdigits,svmLinear,ap,178,0.952330131625756,0.933428266286935
statlog-satimage,svmLinear,ap,73,0.867660764212488,0.857898009950249
pendigits,svmLinear,ap,138,0.973086015639207,0.972874567631531
